thread,query_type,latency_us
reader,SELECT,45.292000000030086
reader,SELECT,39.95899999997832
writer,UPDATE,43.00000000001525
reader,SELECT,40.16600000000814
reader,SELECT,30.750000000079325
writer,UPDATE,37.12499999997121
reader,SELECT,35.707999999967655
reader,SELECT,27.165999999967383
writer,UPDATE,118.20899999992474
reader,SELECT,92.50000000005087
reader,SELECT,75.45900000005545
writer,UPDATE,80.33399999995972
reader,SELECT,86.8339999999801
reader,SELECT,69.541999999978
writer,UPDATE,88.95899999994406
reader,SELECT,82.70899999995862
reader,SELECT,69.83299999996362
writer,UPDATE,69.45899999999395
reader,SELECT,82.99999999994424
reader,SELECT,70.08399999997027
writer,UPDATE,69.08299999996981
reader,SELECT,85.1249999999082
reader,SELECT,75.24999999997118
writer,UPDATE,63.83300000001313
reader,SELECT,86.0000000000305
reader,SELECT,64.91699999999767
writer,UPDATE,59.5839999999459
reader,SELECT,71.62500000001958
reader,SELECT,71.45900000005145
writer,UPDATE,79.1669999999911
reader,SELECT,87.37500000000065
reader,SELECT,69.5830000000397
writer,UPDATE,69.1669999999256
reader,SELECT,86.37499999997189
reader,SELECT,69.4999999999446
writer,UPDATE,60.542000000052276
reader,SELECT,81.70799999995815
writer,UPDATE,76.87499999997627
reader,SELECT,82.37500000007891
reader,SELECT,69.79199999990193
writer,UPDATE,68.49999999991584
reader,SELECT,82.54200000001876
reader,SELECT,69.12500000000321
writer,UPDATE,67.16699999997911
reader,SELECT,83.83300000003314
reader,SELECT,69.45800000002222
writer,UPDATE,67.75000000003305
reader,SELECT,83.00000000005525
reader,SELECT,69.45799999991121
writer,UPDATE,63.20800000003679
reader,SELECT,72.58399999998666
reader,SELECT,42.79200000001371
writer,UPDATE,35.75000000000106
reader,SELECT,42.83400000004711
reader,SELECT,34.79200000000571
writer,UPDATE,34.08299999996256
reader,SELECT,47.54099999992878
reader,SELECT,36.750000000029814
writer,UPDATE,53.79199999999695
reader,SELECT,42.16599999995463
reader,SELECT,49.87499999997702
writer,UPDATE,30.666000000012517
reader,SELECT,36.12499999994245
reader,SELECT,53.41599999997282
writer,UPDATE,27.792000000026462
reader,SELECT,34.958000000084866
reader,SELECT,28.542000000020273
writer,UPDATE,38.20799999998403
reader,SELECT,38.124999999999964
reader,SELECT,116.49999999996385
writer,UPDATE,74.41600000002157
reader,SELECT,46.79099999993497
writer,UPDATE,31.708999999935372
reader,SELECT,41.45899999996594
reader,SELECT,50.58299999993743
writer,UPDATE,47.79199999993544
reader,SELECT,51.75000000001706
reader,SELECT,56.3749999999974
writer,UPDATE,88.49999999993585
reader,SELECT,95.58300000001019
reader,SELECT,58.91700000004718
writer,UPDATE,73.91599999995168
reader,SELECT,55.12500000004472
reader,SELECT,62.66700000001624
writer,UPDATE,53.70800000004117
reader,SELECT,54.04099999994916
reader,SELECT,54.25000000003344
writer,UPDATE,45.167000000012614
reader,SELECT,54.7079999999589
reader,SELECT,53.33399999996047
writer,UPDATE,50.45800000003098
reader,SELECT,54.29200000006684
reader,SELECT,70.08299999999856
writer,UPDATE,63.75000000002906
reader,SELECT,83.37499999999665
reader,SELECT,70.62499999999083
writer,UPDATE,78.62499999999883
reader,SELECT,85.62499999997809
reader,SELECT,74.16699999995835
writer,UPDATE,74.50000000008839
reader,SELECT,91.08300000004732
reader,SELECT,59.04199999995363
writer,UPDATE,56.87500000006729
reader,SELECT,71.25000000007819
reader,SELECT,68.04099999990765
writer,UPDATE,58.33300000002151
reader,SELECT,80.87499999998028
reader,SELECT,63.95900000000232
writer,UPDATE,59.87500000004253
reader,SELECT,72.45799999999747
reader,SELECT,63.70799999999566
writer,UPDATE,58.79200000002971
reader,SELECT,74.0000000000185
reader,SELECT,59.20900000000451
writer,UPDATE,695.2080000000027
reader,SELECT,68.332999999976
reader,SELECT,75.62500000002359
writer,UPDATE,70.4590000000227
reader,SELECT,67.37499999998064
reader,SELECT,74.58299999996143
writer,UPDATE,76.24999999999993
reader,SELECT,78.37499999996389
reader,SELECT,71.79200000007046
writer,UPDATE,82.87499999992676
reader,SELECT,65.79200000000895
reader,SELECT,56.87500000006729
writer,UPDATE,167.9169999999619
reader,SELECT,72.99999999998974
reader,SELECT,57.25000000000868
writer,UPDATE,59.66699999992997
reader,SELECT,71.70800000000366
reader,SELECT,53.83300000005864
writer,UPDATE,65.33300000000075
reader,SELECT,48.4170000000228
reader,SELECT,43.83299999999313
writer,UPDATE,57.167000000024615
reader,SELECT,99.75000000006506
reader,SELECT,44.87500000005529
writer,UPDATE,46.417000000076314
reader,SELECT,49.50000000003563
reader,SELECT,31.707999999963654
writer,UPDATE,39.87499999991151
reader,SELECT,39.00000000001125
writer,UPDATE,82.7079999999869
reader,SELECT,108.12500000001447
reader,SELECT,44.750000000037815
writer,UPDATE,79.37499999999264
reader,SELECT,64.3750000000054
reader,SELECT,39.33400000000198
writer,UPDATE,68.20799999995853
reader,SELECT,72.000000000072
reader,SELECT,39.45900000001945
reader,SELECT,84.95899999994006
writer,UPDATE,100.37499999993038
reader,SELECT,45.08300000005683
writer,UPDATE,48.29200000000533
reader,SELECT,35.75000000000106
reader,SELECT,32.08300000001607
writer,UPDATE,25.834000000002355
reader,SELECT,31.167000000054124
reader,SELECT,28.250000000062947
writer,UPDATE,26.29200000003884
reader,SELECT,29.374999999998153
reader,SELECT,31.79199999991944
writer,UPDATE,25.708000000013165
reader,SELECT,31.584000000028922
reader,SELECT,27.915999999961194
writer,UPDATE,29.87499999995702
reader,SELECT,37.16599999992187
reader,SELECT,30.83400000003511
writer,UPDATE,31.791000000058744
reader,SELECT,37.292000000022085
reader,SELECT,27.624999999975586
writer,UPDATE,26.416000000084594
reader,SELECT,63.16700000008613
reader,SELECT,32.3749999999734
writer,UPDATE,39.91699999994491
reader,SELECT,52.874999999952266
reader,SELECT,36.87500000004729
writer,UPDATE,33.95800000005611
reader,SELECT,53.999999999998494
reader,SELECT,35.66600000004527
writer,UPDATE,34.95799999997384
reader,SELECT,44.66599999997101
writer,UPDATE,195.9169999998789
reader,SELECT,256.9580000000293
reader,SELECT,46.334000000092246
writer,UPDATE,32.459000000040206
reader,SELECT,33.124999999856186
reader,SELECT,42.33299999989448
writer,UPDATE,41.33400000005949
reader,SELECT,41.95799999995309
reader,SELECT,42.29200000005484
writer,UPDATE,63.83300000001313
reader,SELECT,46.875000000001776
reader,SELECT,33.95900000002783
writer,UPDATE,44.54199999992525
reader,SELECT,41.33400000005949
reader,SELECT,29.167000000107635
writer,UPDATE,36.125000000053475
reader,SELECT,155.37500000006867
reader,SELECT,34.83399999981707
writer,UPDATE,26.874999999870752
reader,SELECT,40.66700000016077
reader,SELECT,24.87499999981324
writer,UPDATE,24.792000000051218
reader,SELECT,35.041000000068934
reader,SELECT,74.45799999983294
writer,UPDATE,29.250000000091703
reader,SELECT,31.166000000082406
writer,UPDATE,33.45899999995794
reader,SELECT,37.166000000032895
reader,SELECT,26.665999999897494
writer,UPDATE,57.583000000027695
reader,SELECT,40.08399999988477
